employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
65438,SalesMarketing,region_7,Mastersabove,f,sourcing,1,35,5,8,0,49,0
65141,Operations,region_22,Bachelors,m,other,1,30,5,4,0,60,0
7513,SalesMarketing,region_19,Bachelors,m,sourcing,1,34,3,7,0,50,0
2542,SalesMarketing,region_23,Bachelors,m,other,2,39,1,10,0,50,0
48945,Technology,region_26,Bachelors,m,other,1,45,3,2,0,73,0
58896,Analytics,region_2,Bachelors,m,sourcing,2,31,3,7,0,85,0
20379,Operations,region_20,Bachelors,f,other,1,31,3,5,0,59,0
16290,Operations,region_34,Mastersabove,m,sourcing,1,33,3,6,0,63,0
73202,Analytics,region_20,Bachelors,m,other,1,28,4,5,0,83,0
28911,SalesMarketing,region_1,Mastersabove,m,sourcing,1,32,5,5,0,54,0
29934,Technology,region_23,,m,sourcing,1,30,,1,0,77,0
49017,SalesMarketing,region_7,Bachelors,f,sourcing,1,35,5,3,0,50,1
60051,SalesMarketing,region_4,Bachelors,m,sourcing,1,49,5,5,0,49,0
38401,Technology,region_29,Mastersabove,m,other,2,39,3,16,0,80,0
77040,R&D,region_2,Mastersabove,m,sourcing,1,37,3,7,0,84,0
43931,Operations,region_7,Bachelors,m,other,1,37,1,10,0,60,0
7152,Technology,region_2,Bachelors,m,other,1,38,3,5,0,77,0
9403,SalesMarketing,region_31,Bachelors,m,other,1,34,1,4,0,51,0
17436,SalesMarketing,region_31,Bachelors,m,other,1,34,5,8,0,46,0
54461,Operations,region_15,Bachelors,m,other,1,37,3,9,0,59,0
12067,Procurement,region_14,Bachelors,m,other,1,35,3,7,0,75,0
33332,Operations,region_15,,m,sourcing,1,41,4,11,0,57,0
58789,Finance,region_11,Bachelors,f,other,1,28,3,4,0,63,0
71177,Procurement,region_5,Bachelors,m,other,1,27,,1,0,70,0
52057,Finance,region_22,Mastersabove,m,sourcing,2,39,5,7,0,59,0
26585,Technology,region_22,Bachelors,m,other,1,27,5,3,0,83,0
37749,Procurement,region_26,Bachelors,m,other,1,31,5,4,0,68,0
2370,Technology,region_26,Bachelors,m,other,1,33,4,4,0,79,0
8219,Analytics,region_5,Bachelors,m,other,1,29,5,3,0,80,0
74759,SalesMarketing,region_4,Bachelors,m,sourcing,1,26,,1,0,44,0
27395,Procurement,region_15,Bachelors,m,sourcing,1,37,5,10,0,72,0
58536,Finance,region_31,Bachelors,m,other,2,26,1,2,0,,0
35465,SalesMarketing,region_7,,f,sourcing,1,24,1,2,0,48,0
51756,Operations,region_2,Bachelors,m,sourcing,2,57,4,6,0,58,0
57011,Analytics,region_22,Bachelors,m,other,2,27,5,3,0,87,0
77064,SalesMarketing,region_22,Bachelors,m,other,1,40,2,4,0,47,0
64062,Technology,region_28,Bachelors,m,sourcing,1,33,4,4,0,75,0
47123,SalesMarketing,region_7,Bachelors,f,sourcing,1,40,5,3,0,47,0
56275,SalesMarketing,region_1,Mastersabove,m,other,1,42,5,5,0,51,0
58304,SalesMarketing,region_28,Bachelors,m,sourcing,1,33,5,6,0,51,1
25014,Technology,region_15,Bachelors,m,other,1,34,3,10,0,80,0
40097,Operations,region_2,Bachelors,f,other,2,23,4,2,0,57,0
23560,HR,region_2,Bachelors,m,sourcing,1,59,4,26,0,52,0
17423,SalesMarketing,region_2,,m,other,3,24,2,2,0,48,0
61758,Analytics,region_2,Bachelors,m,other,1,44,5,12,0,88,0
75009,Procurement,region_17,Bachelors,f,sourcing,1,50,5,11,0,71,0
17876,Procurement,region_13,Mastersabove,f,other,1,37,4,4,0,71,0
36924,Technology,region_16,Bachelors,m,sourcing,1,40,3,11,0,80,0
50408,SalesMarketing,region_20,Bachelors,m,sourcing,1,30,3,3,0,49,0
18013,Procurement,region_2,Mastersabove,f,sourcing,1,56,3,12,0,73,0
24104,Finance,region_2,Bachelors,m,sourcing,1,20,4,2,0,60,0
32083,SalesMarketing,region_25,Bachelors,f,sourcing,1,31,3,8,0,48,0
38330,Procurement,region_15,Bachelors,m,sourcing,1,40,3,12,0,65,0
33690,HR,region_22,Bachelors,m,other,1,30,1,6,0,50,0
73161,Operations,region_22,Bachelors,m,other,1,39,3,5,0,62,0
13596,Analytics,region_31,Bachelors,m,other,2,26,2,2,0,85,0
45709,SalesMarketing,region_31,Bachelors,f,other,1,29,,1,0,49,0
32709,R&D,region_22,Mastersabove,m,sourcing,1,40,3,5,0,84,0
26599,SalesMarketing,region_16,Bachelors,m,other,2,27,,1,0,47,0
32656,SalesMarketing,region_19,Bachelors,m,other,1,40,4,7,0,52,0
17673,SalesMarketing,region_4,Mastersabove,m,other,1,50,4,17,0,47,1
3113,SalesMarketing,region_29,Bachelors,m,sourcing,1,25,3,3,0,53,0
9150,Analytics,region_22,Bachelors,f,other,1,28,,1,0,80,0
14107,SalesMarketing,region_1,Mastersabove,m,sourcing,1,35,4,2,0,52,0
58747,R&D,region_26,Bachelors,m,other,1,34,5,5,0,87,0
3342,Operations,region_13,Mastersabove,f,sourcing,1,31,3,3,0,58,0
77981,Finance,region_22,Bachelors,m,other,1,27,,1,1,58,1
16502,SalesMarketing,region_22,Bachelors,m,sourcing,1,27,,1,0,,1
73729,Procurement,region_10,Bachelors,m,other,1,30,4,6,0,75,0
45624,Analytics,region_31,Bachelors,m,other,1,30,3,7,0,84,1
75677,Operations,region_22,Bachelors,f,other,1,50,5,5,0,59,0
24040,Technology,region_22,Mastersabove,m,other,1,34,5,7,0,78,1
68082,SalesMarketing,region_2,Mastersabove,f,sourcing,1,41,1,12,0,52,0
51786,SalesMarketing,region_16,Bachelors,m,sourcing,1,32,4,6,0,44,0
77577,SalesMarketing,region_7,Bachelors,m,other,1,50,3,14,0,52,0
54782,SalesMarketing,region_2,Mastersabove,m,sourcing,1,38,4,2,0,49,1
52368,SalesMarketing,region_27,Bachelors,m,sourcing,2,29,1,5,0,51,0
75103,SalesMarketing,region_30,Bachelors,m,sourcing,1,35,4,3,0,53,0
7520,Analytics,region_2,Bachelors,m,other,1,25,3,2,0,91,0
59147,SalesMarketing,region_22,Bachelors,m,sourcing,1,30,3,3,0,58,1
53092,Technology,region_2,Bachelors,m,referred,1,47,3,7,0,79,0
34564,Operations,region_4,Mastersabove,m,sourcing,1,35,2,7,0,53,0
66013,SalesMarketing,region_2,,m,sourcing,2,25,3,2,0,53,0
77135,R&D,region_22,Bachelors,m,other,1,36,4,8,0,82,0
44575,Legal,region_7,Bachelors,m,other,1,29,,1,0,65,1
47498,Operations,region_11,Mastersabove,f,sourcing,1,42,5,11,0,60,1
20798,HR,region_20,Bachelors,f,sourcing,1,28,2,6,0,52,0
69094,SalesMarketing,region_2,,m,sourcing,1,39,1,9,0,49,0
22261,Procurement,region_7,Mastersabove,m,sourcing,1,32,5,3,0,69,1
9589,SalesMarketing,region_31,Bachelors,f,other,1,31,,1,0,51,0
62658,SalesMarketing,region_2,,f,sourcing,1,20,,1,0,55,0
21628,Analytics,region_12,Bachelors,m,other,1,34,3,8,0,85,0
68484,Procurement,region_2,Mastersabove,m,sourcing,2,46,4,3,0,74,0
44523,HR,region_2,Mastersabove,m,other,1,47,3,7,0,44,0
35420,Operations,region_2,Bachelors,f,other,1,44,4,13,0,53,0
43923,Analytics,region_14,Bachelors,m,sourcing,1,31,4,4,0,86,0
64109,Technology,region_26,Bachelors,f,sourcing,1,23,,1,0,77,0
41983,Operations,region_2,Bachelors,f,sourcing,1,33,3,5,0,57,0
21440,SalesMarketing,region_31,Bachelors,m,other,1,41,3,12,0,52,0
51256,Finance,region_2,Mastersabove,m,other,1,60,5,17,0,59,0
66635,Operations,region_15,Bachelors,m,other,1,31,5,4,0,63,1
16027,Operations,region_26,Bachelors,f,other,1,37,3,11,0,57,0
46020,Analytics,region_7,Bachelors,m,sourcing,2,39,3,4,0,83,0
28509,SalesMarketing,region_7,Bachelors,m,other,1,40,5,8,0,54,0
33587,SalesMarketing,region_28,Mastersabove,m,sourcing,1,42,5,4,0,50,0
21387,Operations,region_13,Bachelors,m,other,1,35,4,6,0,57,1
55927,Operations,region_13,Mastersabove,f,sourcing,1,41,4,6,0,62,0
60763,Procurement,region_2,Bachelors,f,other,1,23,3,2,0,73,0
53167,SalesMarketing,region_16,Bachelors,m,sourcing,2,31,3,4,0,50,0
32672,Analytics,region_22,Mastersabove,m,other,1,42,2,19,0,79,0
48785,SalesMarketing,region_22,Bachelors,m,other,3,29,4,2,0,49,0
51444,HR,region_13,Bachelors,f,other,1,30,,1,0,54,0
75778,Operations,region_2,Bachelors,m,sourcing,1,41,4,6,0,63,0
14141,SalesMarketing,region_7,Bachelors,f,other,1,40,3,2,0,90,1
17894,SalesMarketing,region_2,Bachelors,m,referred,1,34,5,5,0,49,0
54380,SalesMarketing,region_4,Bachelors,f,other,1,31,4,2,0,46,0
51892,Technology,region_2,Bachelors,m,other,1,27,5,2,0,86,1
3625,Procurement,region_21,Bachelors,m,sourcing,4,30,3,2,0,72,0
38771,Procurement,region_23,Bachelors,f,other,1,27,4,4,0,72,1
18959,Technology,region_15,Bachelors,m,other,4,36,4,7,0,82,0
21137,Technology,region_2,Bachelors,m,sourcing,1,35,4,6,0,77,0
26097,SalesMarketing,region_25,Mastersabove,m,other,1,34,5,7,0,51,1
38052,Procurement,region_34,Mastersabove,m,sourcing,1,37,5,3,1,92,1
41746,Operations,region_22,Bachelors,f,sourcing,1,27,,1,0,58,0
72744,Procurement,region_2,Mastersabove,m,sourcing,2,47,3,5,0,71,0
5461,Analytics,region_8,Bachelors,m,other,1,28,,1,0,83,0
15227,Procurement,region_27,Mastersabove,f,other,1,40,5,5,0,68,0
66874,SalesMarketing,region_27,Bachelors,f,other,1,30,,1,0,50,0
42068,Operations,region_1,Mastersabove,m,other,1,38,5,9,0,,0
54825,SalesMarketing,region_25,Bachelors,m,other,1,30,3,2,0,47,0
77709,SalesMarketing,region_11,Bachelors,f,sourcing,1,28,5,3,0,46,0
43712,Procurement,region_22,Bachelors,m,sourcing,2,28,5,4,0,67,0
74783,Operations,region_29,Bachelors,m,sourcing,1,35,4,7,0,58,0
19318,Analytics,region_22,Bachelors,m,other,1,32,3,8,0,89,1
12096,SalesMarketing,region_26,Mastersabove,m,sourcing,1,36,5,8,0,50,0
5102,Operations,region_7,Bachelors,m,sourcing,1,24,,1,0,56,0
29521,Technology,region_15,Bachelors,m,other,1,27,3,4,0,78,0
36371,Finance,region_28,Mastersabove,m,other,2,34,3,7,0,56,0
51164,Technology,region_14,Bachelors,f,other,1,31,4,4,1,78,0
17812,Technology,region_27,Bachelors,f,sourcing,1,30,4,2,0,77,0
7606,Technology,region_29,Bachelors,f,other,2,30,3,7,1,76,0
50593,Finance,region_23,Bachelors,m,sourcing,1,31,,1,0,56,0
73735,Analytics,region_25,Bachelors,m,other,1,30,5,3,0,84,0
29313,Finance,region_22,Bachelors,m,sourcing,1,28,3,2,0,57,0
40262,Technology,region_2,Bachelors,m,other,2,28,3,5,0,81,0
